frame intention_type current_velocity steering_wheel_angle dlm
150 dlm 0.2646653354167938 -0.00037105585215613246 forward
151 dlm 0.2646653354167938 -0.00037105585215613246 forward
152 dlm 0.6227436065673828 0.0017379273194819687 forward
153 dlm 0.6227436065673828 0.0017379273194819687 forward
154 dlm 0.6227436065673828 0.0017379273194819687 forward
155 dlm 0.5800132155418396 0.000698858464602381 forward
156 dlm 0.5800132155418396 0.000698858464602381 forward
157 dlm 0.6190500855445862 0.00047657522372901434 forward
158 dlm 0.6190500855445862 0.00047657522372901434 forward
159 dlm 0.6190500855445862 0.00047657522372901434 forward
160 dlm 0.6190500855445862 0.00047657522372901434 forward
161 dlm 0.5869271755218506 6.1767291299474874e-06 forward
162 dlm 0.5869271755218506 6.1767291299474874e-06 forward
163 dlm 0.6257262825965881 0.0030119463335722685 forward
164 dlm 0.6257262825965881 0.0030119463335722685 forward
165 dlm 0.6257262825965881 0.0030119463335722685 forward
166 dlm 0.6289552450180054 0.00032613513758406043 forward
167 dlm 0.6289552450180054 0.00032613513758406043 forward
168 dlm 0.6244534850120544 0.0008378008496947588 forward
169 dlm 0.6244534850120544 0.0008378008496947588 forward
170 dlm 0.6244534850120544 0.0008378008496947588 forward
171 dlm 0.5558393001556396 0.0007507409900426866 forward
172 dlm 0.5558393001556396 0.0007507409900426866 forward
173 dlm 0.5558393001556396 0.0007507409900426866 forward
174 dlm 0.6289014220237732 0.0003221331862732768 forward
175 dlm 0.6289014220237732 0.0003221331862732768 forward
176 dlm 0.6289014220237732 0.0003221331862732768 forward
177 dlm 0.5934919714927673 0.0008429674780927597 forward
178 dlm 0.5934919714927673 0.0008429674780927597 forward
179 dlm 0.5934919714927673 0.0008429674780927597 forward
180 dlm 0.5533639192581177 0.13399073481559753 forward
181 dlm 0.5533639192581177 0.13399073481559753 forward
182 dlm 0.5533639192581177 0.13399073481559753 forward
183 dlm 0.6208803653717041 0.002925334498286248 forward
184 dlm 0.6208803653717041 0.002925334498286248 forward
185 dlm 0.6208803653717041 0.002925334498286248 forward
186 dlm 0.5291917324066162 0.029534416273236275 forward
187 dlm 0.5291917324066162 0.029534416273236275 forward
188 dlm 0.6211145520210266 0.07612597197294235 forward
189 dlm 0.6211145520210266 0.07612597197294235 forward
190 dlm 0.6211145520210266 0.07612597197294235 forward
191 dlm 0.20645351707935333 -0.00021240056958049536 forward
192 dlm 0.20645351707935333 -0.00021240056958049536 forward
193 dlm 0.20645351707935333 -0.00021240056958049536 forward
194 dlm 0.2411011159420013 0.02153860777616501 forward
195 dlm 0.2411011159420013 0.02153860777616501 forward
196 dlm 0.2411011159420013 0.02153860777616501 forward
197 dlm 0.396083265542984 0.008999189361929893 forward
198 dlm 0.396083265542984 0.008999189361929893 forward
199 dlm 0.4993526339530945 0.0006144973449409008 forward
200 dlm 0.4993526339530945 0.0006144973449409008 forward
201 dlm 0.4993526339530945 0.0006144973449409008 forward
202 dlm 0.5233097672462463 -0.003996718674898148 forward
203 dlm 0.5233097672462463 -0.003996718674898148 forward
204 dlm 0.5233097672462463 -0.003996718674898148 forward
205 dlm 0.4355297386646271 -0.02440187707543373 forward
206 dlm 0.4355297386646271 -0.02440187707543373 forward
207 dlm 0.4528684616088867 -0.18101100623607635 forward
208 dlm 0.4528684616088867 -0.18101100623607635 forward
209 dlm 0.4528684616088867 -0.18101100623607635 forward
210 dlm 0.4588416218757629 -0.05781595408916474 forward
211 dlm 0.4588416218757629 -0.05781595408916474 forward
212 dlm 0.4507933557033539 -0.01003195997327566 forward
213 dlm 0.4507933557033539 -0.01003195997327566 forward
214 dlm 0.4507933557033539 -0.01003195997327566 forward
215 dlm 0.4737695157527924 0.00017632842354942113 forward
